FID,x,y,lineament_dens,drainage_dens,curah_hujan,slope,elevasi,litologi_Alluvial,litologi_Batigamping,litologi_Batuan_Sedimen,litologi_Batugamping,litologi_Breksi_Gunung_Api,litologi_Breksi_dan_Piroklastik_Muda,litologi_Breksi_dan_Piroklastik_Tua,litologi_Volkanoklastik,potensi
61,108.2177,-7.4372300000000005,0.6049479999999999,229.9499,250,2,5,0,0,1,0,0,0,0,0,1
62,108.2227,-7.4372300000000005,0.6049479999999999,209.9543,250,3,5,0,0,1,0,0,0,0,0,1
63,108.2277,-7.4372300000000005,0.5780609999999999,209.9543,250,3,5,0,0,1,0,0,0,0,0,1
64,108.2327,-7.4372300000000005,0.5511739999999999,209.9543,250,3,5,0,0,1,0,0,0,0,0,1
65,108.2377,-7.4372300000000005,0.524288,229.9499,250,3,6,0,0,1,0,0,0,0,0,1
66,108.2427,-7.4372300000000005,0.49740100000000004,229.9499,250,2,7,0,0,1,0,0,0,0,0,1
67,108.2477,-7.4372300000000005,0.47051499999999996,229.9499,250,1,7,0,0,1,0,0,0,0,0,1
68,108.2527,-7.4372300000000005,0.416742,249.9456,250,3,7,0,0,1,0,0,0,0,0,1
69,108.2577,-7.4372300000000005,0.389855,269.9412,250,3,7,0,0,1,0,0,0,0,0,1
70,108.2627,-7.4372300000000005,0.389855,269.9412,250,2,6,0,0,1,0,0,0,0,0,1
71,108.2678,-7.4372300000000005,0.362969,289.9369,250,3,6,0,0,1,0,0,0,0,0,1
72,108.2728,-7.4372300000000005,0.362969,289.9369,250,3,6,0,0,1,0,0,0,0,0,1
73,108.2778,-7.4372300000000005,0.389855,309.9325,250,1,6,0,0,1,0,0,0,0,0,1
74,108.2778,-7.4372300000000005,0.389855,309.9325,250,1,6,0,0,1,0,0,0,0,0,1
75,108.2828,-7.4372300000000005,0.416742,309.9325,250,3,7,0,0,1,0,0,0,0,0,1
76,108.2828,-7.4372300000000005,0.416742,309.9325,250,3,7,0,0,1,0,0,0,0,0,1
77,108.2878,-7.4372300000000005,0.44362799999999997,309.9325,250,3,8,0,0,1,0,0,0,0,0,1
78,108.2928,-7.4372300000000005,0.49740100000000004,329.9282,250,4,8,0,0,0,0,0,0,0,1,1
79,108.2978,-7.4372300000000005,0.524288,329.9282,250,4,10,0,0,0,0,0,0,0,1,1
80,108.3028,-7.4372300000000005,0.5511739999999999,329.9282,250,4,11,0,0,0,0,0,0,0,1,1
81,108.3078,-7.4372300000000005,0.5780609999999999,329.9282,250,5,11,0,0,0,0,0,0,0,1,1
82,108.3128,-7.4372300000000005,0.5780609999999999,349.9238,250,5,12,0,0,0,0,0,0,0,1,1
83,108.3178,-7.4372300000000005,0.5780609999999999,349.9238,250,4,14,0,0,0,0,0,0,0,1,1
84,108.3228,-7.4372300000000005,0.5780609999999999,349.9238,250,5,13,0,0,0,0,0,0,0,1,1
85,108.3278,-7.4372300000000005,0.5511739999999999,369.9194,250,5,11,0,0,0,0,0,0,0,1,1
86,108.3329,-7.4372300000000005,0.524288,369.9194,250,4,8,0,0,0,0,0,0,0,1,1
87,108.3379,-7.4372300000000005,0.524288,369.9194,250,4,8,0,0,0,0,0,0,0,1,1
88,108.3429,-7.4372300000000005,0.49740100000000004,369.9194,250,3,8,0,0,0,0,0,0,0,1,1
89,108.3479,-7.4372300000000005,0.49740100000000004,349.9238,250,2,8,0,0,0,0,0,0,0,1,1
90,108.3529,-7.4372300000000005,0.49740100000000004,349.9238,250,4,8,0,0,0,0,0,0,0,1,1
91,108.1275,-7.433560000000001,0.47051499999999996,169.963,250,2,7,0,0,1,0,0,0,0,0,1
92,108.1325,-7.433560000000001,0.47051499999999996,189.9586,250,2,7,0,0,1,0,0,0,0,0,1
93,108.1375,-7.433560000000001,0.47051499999999996,189.9586,250,1,6,0,0,1,0,0,0,0,0,1
94,108.1426,-7.433560000000001,0.47051499999999996,189.9586,250,3,6,0,0,1,0,0,0,0,0,1
95,108.1476,-7.433560000000001,0.49740100000000004,169.963,250,1,6,0,0,1,0,0,0,0,0,1
96,108.1526,-7.433560000000001,0.524288,169.963,250,2,6,0,0,1,0,0,0,0,0,1
97,108.1576,-7.433560000000001,0.5511739999999999,169.963,250,3,6,0,0,1,0,0,0,0,0,1
98,108.1626,-7.433560000000001,0.6049479999999999,169.963,250,3,6,0,0,1,0,0,0,0,0,1
99,108.1676,-7.433560000000001,0.631834,169.963,250,3,6,0,0,1,0,0,0,0,0,1
100,108.1726,-7.433560000000001,0.631834,169.963,250,3,6,0,0,1,0,0,0,0,0,1
101,108.1776,-7.433560000000001,0.658721,189.9586,250,3,4,0,0,1,0,0,0,0,0,1
102,108.1826,-7.433560000000001,0.658721,189.9586,250,2,4,1,0,0,0,0,0,0,0,1
103,108.1876,-7.433560000000001,0.658721,209.9543,250,1,4,0,1,0,0,0,0,0,0,0
104,108.1926,-7.433560000000001,0.658721,209.9543,250,1,4,0,1,0,0,0,0,0,0,0
105,108.1976,-7.433560000000001,0.658721,209.9543,250,3,5,0,1,0,0,0,0,0,0,0
106,108.2027,-7.433560000000001,0.658721,209.9543,250,2,5,0,1,0,0,0,0,0,0,0
107,108.2077,-7.433560000000001,0.658721,209.9543,250,3,5,0,1,0,0,0,0,0,0,0
108,108.2127,-7.433560000000001,0.658721,209.9543,250,1,5,0,1,0,0,0,0,0,0,0
109,108.2177,-7.433560000000001,0.631834,209.9543,250,2,5,0,1,0,0,0,0,0,0,0
110,108.2227,-7.433560000000001,0.6049479999999999,209.9543,250,2,5,0,0,1,0,0,0,0,0,1
111,108.2277,-7.433560000000001,0.5780609999999999,209.9543,250,2,5,0,0,1,0,0,0,0,0,1
112,108.2527,-7.433560000000001,0.44362799999999997,229.9499,250,1,7,0,0,1,0,0,0,0,0,1
113,108.2577,-7.433560000000001,0.416742,249.9456,250,3,7,0,0,1,0,0,0,0,0,1
114,108.2627,-7.433560000000001,0.389855,269.9412,250,2,6,0,0,1,0,0,0,0,0,1
115,108.2678,-7.433560000000001,0.362969,269.9412,250,1,5,0,0,1,0,0,0,0,0,1
116,108.2728,-7.433560000000001,0.362969,289.9369,250,2,6,0,0,1,0,0,0,0,0,1
117,108.2728,-7.433560000000001,0.362969,289.9369,250,2,6,0,0,1,0,0,0,0,0,1
118,108.2778,-7.433560000000001,0.389855,289.9369,250,1,6,0,0,1,0,0,0,0,0,1
119,108.2778,-7.433560000000001,0.389855,289.9369,250,1,6,0,0,1,0,0,0,0,0,1
120,108.2828,-7.433560000000001,0.416742,309.9325,250,2,7,0,0,1,0,0,0,0,0,1
121,108.2878,-7.433560000000001,0.44362799999999997,309.9325,250,2,7,0,0,1,0,0,0,0,0,1
